,days,H,D,R,T,Iso,L,M,S
40,40,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
46,46,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
47,47,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
48,48,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
49,49,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
50,50,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
51,51,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
52,52,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
53,53,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
54,54,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
55,55,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
56,56,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
57,57,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
58,58,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
59,59,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
60,60,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
61,61,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
62,62,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
63,63,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
64,64,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
65,65,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
66,66,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
67,67,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
68,68,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
69,69,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
70,70,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
71,71,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
72,72,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
73,73,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
74,74,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
75,75,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
76,76,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
77,77,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
78,78,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
79,79,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
80,80,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
81,81,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
82,82,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
83,83,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
84,84,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
85,85,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
86,86,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
87,87,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
88,88,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
89,89,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
90,90,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
91,91,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
92,92,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
93,93,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
94,94,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
95,95,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
96,96,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
97,97,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
98,98,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
99,99,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
100,100,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
101,101,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
102,102,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
103,103,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
104,104,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
105,105,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
106,106,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
107,107,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
108,108,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
109,109,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
110,110,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
111,111,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
112,112,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
113,113,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
114,114,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
115,115,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
116,116,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
117,117,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
118,118,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
119,119,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
120,120,0.0,0.0,4751.0,249.0,0.0,0.0,0.0,0.0
